7.0,0.27,0.36,20.70,0.0450,45,170,1.0010,3.00,0.45,8.8,6
6.3,0.30,0.34,1.60,0.0490,14,132,0.9940,3.30,0.49,9.5,6
8.1,0.28,0.40,6.90,0.0500,30,97,0.9951,3.26,0.44,10.1,6
7.2,0.23,0.32,8.50,0.0580,47,186,0.9956,3.19,0.40,9.9,6
7.2,0.23,0.32,8.50,0.0580,47,186,0.9956,3.19,0.40,9.9,6
8.1,0.28,0.40,6.90,0.0500,30,97,0.9951,3.26,0.44,10.1,6
6.2,0.32,0.16,7.00,0.0450,30,136,0.9949,3.18,0.47,9.6,6
7.0,0.27,0.36,20.70,0.0450,45,170,1.0010,3.00,0.45,8.8,6
6.3,0.30,0.34,1.60,0.0490,14,132,0.9940,3.30,0.49,9.5,6
8.1,0.22,0.43,1.50,0.0440,28,129,0.9938,3.22,0.45,11.0,6
8.1,0.27,0.41,1.45,0.0330,11,63,0.9908,2.99,0.56,12.0,5
8.6,0.23,0.40,4.20,0.0350,17,109,0.9947,3.14,0.53,9.7,5
7.9,0.18,0.37,1.20,0.0400,16,75,0.9920,3.18,0.63,10.8,5
6.6,0.16,0.40,1.50,0.0440,48,143,0.9912,3.54,0.52,12.4,7
8.3,0.42,0.62,19.25,0.0400,41,172,1.0002,2.98,0.67,9.7,5
6.6,0.17,0.38,1.50,0.0320,28,112,0.9914,3.25,0.55,11.4,7
6.3,0.48,0.04,1.10,0.0460,30,99,0.9928,3.24,0.36,9.6,6
6.2,0.66,0.48,1.20,0.0290,29,75,0.9892,3.33,0.39,12.8,8
7.4,0.34,0.42,1.10,0.0330,17,171,0.9917,3.12,0.53,11.3,6
6.5,0.31,0.14,7.50,0.0440,34,133,0.9955,3.22,0.50,9.5,5
6.2,0.66,0.48,1.20,0.0290,29,75,0.9892,3.33,0.39,12.8,8
6.4,0.31,0.38,2.90,0.0380,19,102,0.9912,3.17,0.35,11.0,7
6.8,0.26,0.42,1.70,0.0490,41,122,0.9930,3.47,0.48,10.5,8
7.6,0.67,0.14,1.50,0.0740,25,168,0.9937,3.05,0.51,9.3,5
6.6,0.27,0.41,1.30,0.0520,16,142,0.9951,3.42,0.47,10.0,6
7.0,0.25,0.32,9.00,0.0460,56,245,0.9955,3.25,0.50,10.4,6
6.9,0.24,0.35,1.00,0.0520,35,146,0.9930,3.45,0.44,10.0,6
7.0,0.28,0.39,8.70,0.0510,32,141,0.9961,3.38,0.53,10.5,6
7.4,0.27,0.48,1.10,0.0470,17,132,0.9914,3.19,0.49,11.6,6
7.2,0.32,0.36,2.00,0.0330,37,114,0.9906,3.10,0.71,12.3,7
8.5,0.24,0.39,10.40,0.0440,20,142,0.9974,3.20,0.53,10.0,6
